Prodotto;Microarea;"Numero Pezzi";Provvigione;"Netto Fatturato";Spettanza
"BIOGREEN - GEL 30ML";TORINO01;1;3,00;13,00;,39
"BIOGREEN - GEL 30ML";TORINO02;1;3,00;13,00;,39
"BIOGREEN - GEL 30ML";TORINO03;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO04;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO05;4;3,00;52,00;1,56
"BIOGREEN - GEL 30ML";TORINO06;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO07;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO08;1;3,00;13,00;,39
"BIOGREEN - GEL 30ML";TORINO09;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO10;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO11;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO12;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO13;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO14;1;3,00;13,00;,39
"BIOGREEN - GEL 30ML";TORINO15;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO16;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO17;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO18;3;3,00;39,00;1,17
"BIOGREEN - GEL 30ML";TORINO19;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO20;1;3,00;13,00;,39
"BIOGREEN - GEL 30ML";TORINO21;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO22;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO23;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO24;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO25;1;3,00;13,00;,39
"BIOGREEN - GEL 30ML";TORINO26;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO27;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO28;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO29;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO30;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO31;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO32;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO33;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO34;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO35;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO36;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO37;0;3,00;,00;,00
"BIOGREEN - GEL 30ML";TORINO38;3;3,00;39,00;1,17
"BIOGREEN - GEL 30ML";TORINO39;1;3,00;13,00;,39
"BIOGREEN - GEL 30ML";TORINO40;1;3,00;13,00;,39
"BIOGREEN - GEL 30ML";TORINO41;3;3,00;39,00;1,17
"BIOGREEN - GEL 30ML";TORINO42;0;3,00;,00;,00
;;
;;
;;
Prodotto;"Numero Pezzi";Spettanza
"BIOGREEN - GEL 30ML";21;8,19
